,month,temp_avg,temp_max,temp_min,region,short_description,latitude,longitude,Services voyage (% exports de services),Accès électricité (% pop),Densité de population (hab/km²),Pop. dans grandes agglomérations (%),Accès Internet (% pop),PIB par habitant (USD),Accès eau potable (% pop),Médecins (pour 1000 habitants),Dépenses santé par habitant (USD),Pauvreté < 3$/jour (% pop),Pauvreté seuil national (% pop),Revenu 40% les plus pauvres ($/jour),Revenu moyen par habitant ($/jour),Espérance de vie (années),Population rurale (% total),Population urbaine (% total),Arrivées touristes internationaux (nb),Départs touristes internationaux (nb),Recettes tourisme (USD),Recettes tourisme (% exportations),Recettes voyages touristiques (USD),Dépenses tourisme (USD),city,nature,patrimoine,culture,restaurant,nightlife,loisirs,country
3828,4,4.6,10.9,-1.7,north_america,"A dynamic blend of urban sophistication and stunning natural landscapes, where vibrant arts scenes meet the majestic Rockies under vast blue skies.",51.0456064,-114.057541,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Calgary,2.52,0.49,0.48,0.9,0.48,2.29,canada
3850,5,10.9,17.4,4.4,north_america,"A dynamic blend of urban sophistication and stunning natural landscapes, where vibrant arts scenes meet the majestic Rockies under vast blue skies.",51.0456064,-114.057541,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Calgary,2.52,0.49,0.48,0.9,0.48,2.29,canada
3872,6,15.3,21.6,9.0,north_america,"A dynamic blend of urban sophistication and stunning natural landscapes, where vibrant arts scenes meet the majestic Rockies under vast blue skies.",51.0456064,-114.057541,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Calgary,2.52,0.49,0.48,0.9,0.48,2.29,canada
3894,7,18.2,24.8,11.6,north_america,"A dynamic blend of urban sophistication and stunning natural landscapes, where vibrant arts scenes meet the majestic Rockies under vast blue skies.",51.0456064,-114.057541,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Calgary,2.52,0.49,0.48,0.9,0.48,2.29,canada
3916,8,17.5,24.2,10.8,north_america,"A dynamic blend of urban sophistication and stunning natural landscapes, where vibrant arts scenes meet the majestic Rockies under vast blue skies.",51.0456064,-114.057541,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Calgary,2.52,0.49,0.48,0.9,0.48,2.29,canada
3938,9,12.3,18.4,6.0,north_america,"A dynamic blend of urban sophistication and stunning natural landscapes, where vibrant arts scenes meet the majestic Rockies under vast blue skies.",51.0456064,-114.057541,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Calgary,2.52,0.49,0.48,0.9,0.48,2.29,canada
3960,1,6.8,10.3,3.4,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
3982,10,15.8,20.8,11.7,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4004,11,10.6,14.7,6.8,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4026,12,8.2,12.0,4.6,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4048,2,8.7,13.2,4.7,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4070,3,10.7,15.6,6.2,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4092,4,12.7,18.0,7.8,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4114,5,16.4,21.8,11.4,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4136,6,21.0,26.7,15.5,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4158,7,23.9,30.1,17.8,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4180,8,23.9,30.5,17.9,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4202,9,20.2,26.4,14.8,europe,"Wandering through narrow cobblestone streets, you feel the weight of history enveloped by ancient walls, with the aroma of rustic French cuisine lingering.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassone,0.05,0.18,0.06,0.06,0.02,1.15,france
4224,1,6.8,10.3,3.4,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4246,10,15.8,20.8,11.7,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4268,11,10.6,14.7,6.8,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4290,12,8.2,12.0,4.6,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4312,2,8.7,13.2,4.7,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4334,3,10.7,15.3,6.5,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4356,4,12.7,18.0,7.8,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4378,5,16.4,21.8,11.4,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4400,6,21.0,26.7,15.5,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4422,7,23.9,30.1,17.8,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4444,8,23.9,30.5,17.9,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4466,9,20.2,26.4,14.8,europe,"Strolling through cobbled streets surrounded by medieval walls, you feel transported to another era, with vibrant markets and cozy restaurants at every turn.",43.2130358,2.3491069,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Carcassonne,0.05,0.18,0.06,0.06,0.02,1.15,france
4488,1,27.1,29.9,24.9,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4510,10,28.2,31.6,25.5,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4532,11,28.3,31.2,25.7,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4554,12,27.6,30.3,25.3,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4576,2,27.0,30.0,24.6,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4598,3,27.9,31.2,25.1,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4620,4,28.8,32.2,25.9,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4642,5,29.5,33.1,26.8,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4664,6,28.8,32.3,26.0,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4686,7,28.4,31.7,25.8,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4708,8,28.6,32.2,25.8,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4730,9,28.4,32.0,25.7,asia,"Tropical warmth, vibrant street life, and a mix of modern and historic sites create an inviting atmosphere full of discovery and relaxation.",10.47,123.83,18.8662543546901,98.0,385.321122178623,14.4628040656099,83.7661,3804.08274131097,95.465506033898,0.792,194.05484009,5.3,15.5,4.37,9.93,69.833,44.8757283831149,55.1242716168851,1483000.0,1483000.0,2769000000.0,3.45979194990587,2010000000.0,4872000000.0,Cebu,0.44,0.73,0.18,0.29,0.14,0.87,philippines
4752,1,-5.5,-1.3,-9.5,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4774,10,9.6,14.0,5.2,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4796,11,3.6,7.5,0.0,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4818,12,-1.7,1.9,-5.1,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4840,2,-6.1,-1.6,-10.6,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4862,3,-2.4,1.6,-6.2,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4884,4,3.1,7.8,-1.1,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4906,5,9.2,14.8,3.8,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4928,6,14.9,20.1,10.1,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4950,7,19.5,24.2,14.9,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
4972,8,19.6,24.3,14.9,north_america,Charming streets lined with historic buildings and a gentle sea breeze create a welcoming atmosphere perfect for leisurely exploration and relaxation.,46.234953,-63.132935,29.408234935715,100.0,4.56079784268436,44.8021259828612,93.9564,54220.3285039875,98.2905039744417,2.819,6186.65234375,0.2,22.95,40.8,77.73,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0,Charlottetown,0.07,0.05,0.04,0.05,0.02,0.26,canada
